id,username,nickname,email,hashed_password,bio,profile_pic_path,current_game,is_online,win_loss_ratio_ttt,win_loss_ratio_connect4,win_loss_ratio_checkers,rating_ttt,rating_connect4,rating_checkers,rank_ttt,rank_connect4,rank_checkers,wins_ttt,wins_connect4,wins_checkers,games_played,achievement_progress,friends,friend_requests,losses_ttt,losses_connect4,losses_checkers,total_ttt,total_connect4,total_checkers,created_at
455,User_b083f01f,,User_b083f01f@example.com,C6B82BA3307740C8D23D9900610F62C7BE219CDB484AB4BBA2A40E23BF7ED47F,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:32:25.657986
456,User_b076d8bd,,User_b076d8bd@example.com,C2DA2967EFEBB55E134212B1F2AA66B47107F94B5510996E759149E3EF6B4395,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:32:25.827786
462,User_4d9b7b7e,,User_4d9b7b7e@example.com,B88282138FC03B3ED39B1258D1BEC8E5AD827D857A569985A1F135D874984FE8,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:32:26.684875
444,User_7e9dc6da,,User_7e9dc6da@example.com,A871B19E6E46D92F1005E4877B9DAE682DF9BB6808183F78EC5F0D913CD53D93,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:25.707389
446,User_4d676455,,User_4d676455@example.com,04571C5AD42CAF3CB03E1C9EEEA9052852562EB2ADDE6C7DEF21F6C80BC1CCBF,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:25.83525
447,User_157c6786,,User_157c6786@example.com,79854C95EE3C39245AAE068A8AA0CE1B9821C195ACA7953540E36BD0E174237D,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:26.131008
473,User_dbf90048,,User_dbf90048@example.com,2809B4FFE28A1059FB645C96427B5D63477D1D86DAE6A93B35D26F0AD395B3D1,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:33:34.765262
450,UsernameA,,A@email.com,556B6173800028567A05B5E05C8189A26E2141AC8428E15FF47CECE7ABB0E191,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:26.657797
453,User_f0f7f2f2,,User_f0f7f2f2@example.com,ADAA871CE6E52DEE0E26C82ED300FD47F17FD35A060DBDE79B593CC8C5B37534,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:26.807594
454,testUser,,test@email.com,FD5CB51BAFD60F6FDBEDDE6E62C473DA6F247DB271633E15919BAB78A02EE9EB,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:26.889478
484,User_5518a63b,,User_5518a63b@example.com,8116E963FADC409C8386A731058935C95C390ED41A3E036A8668CEA54EDC02FC,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:33:35.741412
487,User_be4dc33d,,User_be4dc33d@example.com,D35CA10F70C856BC64BC4707BA302B4D6BDF70DB891BC7C369D64189E308C5A0,,,,t,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:41:57.981345
489,User_ae2a67ae,,User_ae2a67ae@example.com,528A63DC7555AABBA584D0220C715F72B8DFC80404FA4FD95FCA00C0202532B7,,,,t,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:47:10.62401
472,User_13cbc9e1,,User_13cbc9e1@example.com,34568597492B9551638DE992046C214F3A8584CA2E5C5E15EE9E23301FA21470,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:32:44.704965
486,User_6ef3c8ce,,User_6ef3c8ce@example.com,C806092E2589698C20AE3440EA581C3668EF167BC7733FBCDC1D493BEA9EAD65,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:38:13.422236
435,colby,,colbyemail,5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8,,,,f,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:29:33.986206
445,User_8279db73,,User_8279db73@example.com,ED7D55B639F263079A25E2BDEE077A26F6D240DF74E520B63BDF456C88094FED,,,,,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:31:25.812356
488,User_a6afd132,,User_a6afd132@example.com,85F66676FF8CD08F88C60F713D1DDF0DE761ED034FAD9582D4F2DF3F969CE130,,,,t,0,0,0,0,0,0,unranked,unranked,unranked,0,0,0,,{},,,0,0,0,0,0,0,2025-04-08 14:45:01.366324
